name,url,inn,ogrn,registration_date,director_since,has_ceo_history,arbitr_cases_count,revenue,profit,email,website,matched,reasons
"ООО ""ТД ""Ункомтех""",https://www.rusprofile.ru/id/3463039,,,16.09.2005,с 14 октября 2011 г.,False,639,39000000000,645000000,adobretski@irkutskkabel.ru,uncomtech.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"АО ""ГМЗ ""Химмаш""",https://www.rusprofile.ru/id/3661793,,,13.11.2002,с 23 сентября 2024 г.,True,89,12000000000,394000000,uvg@newbizline.ru,uniclimatics.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Оптима Сервис""",https://www.rusprofile.ru/id/4297437,,,29.09.2008,с 19 марта 2025 г.,True,172,2600000000,37000000,dir@optima-s.com,optima-s.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Технониколь-Строительные Системы""",https://www.rusprofile.ru/id/7789085,,,15.04.2004,с 19 марта 2013 г.,False,262,204000000000,23000000000,gr@tn.ru,boernerfoam.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Д-Строй""",https://www.rusprofile.ru/id/3683125,,,22.03.2006,с 3 октября 2023 г.,True,8,1600000000,48000,fudlendpskov@mail.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Борк-Импорт""",https://www.rusprofile.ru/id/2803903,,,24.11.2006,с 16 марта 2026 г.,True,47,13000000000,610000000,studio-artika@yandex.ru,bork.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Хайнеманн Медицинтехник""",https://www.rusprofile.ru/id/2390580,,,01.04.2008,с 1 ноября 2016 г.,True,127,3200000000,-108000000,info@heinemann.ru,heinemann.ru,False,['выручка положительная']
"ООО ""Туплекс""",https://www.rusprofile.ru/id/3936110,,,15.04.2004,с 22 мая 2015 г.,False,94,1800000000,53000000,dichu@list.ru,tuplex.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Лоза""",https://www.rusprofile.ru/id/1556890,,,04.04.2006,с 24 апреля 2025 г.,True,4,414000000,5800000,loz.a@rambler.ru,lozarus.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Фомлайн""",https://www.rusprofile.ru/id/154474,,,01.03.2001,с 30 июня 2017 г.,True,30,10000000000,2800000000,dolinaty@foamline.com,fmln.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Авантаж Инжиниринг""",https://www.rusprofile.ru/id/1459041,,,10.11.2009,с 12 сентября 2025 г.,True,114,2800000000,161000000,office.msk@tdavantage.ru,tdavantage.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Стеклонит Менеджмент""",https://www.rusprofile.ru/id/1443271,,,04.11.2002,с 17 февраля 2025 г.,True,54,1300000000,5600000,a.strizhak@ruscompozit.com,steklonit.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""ЦУП Чэаз""",https://www.rusprofile.ru/id/2537946,,,28.07.2003,с 16 февраля 2026 г.,True,187,6300000000,55000000,shurdov@gmail.com,cheaz.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Эсаб""",https://www.rusprofile.ru/id/4195568,,,04.12.2000,,True,70,15000000000,1300000000,info@esab.ru,esab.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Керамик Солюшнс Рус""",https://www.rusprofile.ru/id/805546,,,19.04.2007,,True,93,9800000000,431000000,info@cersanit.ru,www.cersanit.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Квазар""",https://www.rusprofile.ru/id/1074561,,,15.06.1999,,True,1,308000000,34000000,kvazar881@mail.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""ТД Епк""",https://www.rusprofile.ru/id/2270796,,,26.01.2001,,False,347,19000000000,1500000000,td-galina@epkgroup.ru,epkgroup.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Центртехформ""",https://www.rusprofile.ru/id/2483696,,,08.02.2005,с 29 марта 2007 г.,False,59,1600000000,21000000,artpolu@yandex.ru,ctf-m.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Акрос""",https://www.rusprofile.ru/id/2632974,,,14.03.2000,с 18 июня 2021 г.,True,96,14000000000,916000000,info@akros-llc.com,akros-llc.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Интерэнерго""",https://www.rusprofile.ru/id/1935458,,,16.12.2004,с 25 января 2022 г.,True,83,9900000000,250000000,bershadskij_ap@interenergo.info,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""ТД Полиметалл""",https://www.rusprofile.ru/id/3429129,,,14.04.2005,,False,185,40000000000,445000000,demeshina@polymetal.ru,polymetal.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Голд ПАК""",https://www.rusprofile.ru/id/2170084,,,08.11.2007,с 20 октября 2017 г.,True,57,1400000000,34000000,shop@gold-pack.ru,goldpack-russia.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Артсана Рус""",https://www.rusprofile.ru/id/940761,,,03.08.2005,с 24 июля 2025 г.,True,38,684000000,27000000,soc.chicco.ru@gmail.com,chicco.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Ланит-Интеграция""",https://www.rusprofile.ru/id/2173311,,,28.07.2008,,True,182,16000000000,171000000,it@lanit.ru,lanit.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Пренто""",https://www.rusprofile.ru/id/7167772,,,18.02.2014,с 7 мая 2015 г.,True,71,1700000000,498000,dmitriy.yanov@thppl.ru,pren-to.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Торговый Дом БМЗ""",https://www.rusprofile.ru/id/617056,,,05.10.2007,с 26 июля 2024 г.,True,184,55000000000,-336000000,info@bmzm.ru,bmzm.ru,False,['выручка положительная']
"ООО ""ТД ""Метродеталь""",https://www.rusprofile.ru/id/3056983,,,05.04.2007,с 16 марта 2022 г.,True,18,517000000,74000000,metrodetal@yandex.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Седо Хаусхолд Продактс""",https://www.rusprofile.ru/id/1259060,,,20.01.1997,с 12 сентября 2019 г.,True,44,1600000000,-223000000,maria.matviets@cedo.com,www.paclan.ru,False,['выручка положительная']
"АО ""Астрал СНГ""",https://www.rusprofile.ru/id/22870,,,30.03.2000,с 22 января 2025 г.,True,16,833000000,90000000,info@astralpool.ru,astralpool.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Группа ""Нефтехиммаш""",https://www.rusprofile.ru/id/1985281,,,27.03.2007,с 16 января 2019 г.,True,20,1200000000,98000000,inahodec@gmail.com,neftekhimmash.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Олимп-Трейд""",https://www.rusprofile.ru/id/1457275,,,12.10.2005,с 6 августа 2014 г.,False,497,28000000000,164000000,info@olymp-trade.com,olymp-trade.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Сибиэй Рус""",https://www.rusprofile.ru/id/5587900,,,03.06.2011,с 31 января 2024 г.,True,4,1400000000,,semidarus@bk.ru,cba-rus.ru,False,"['арбитражных дел не больше 5', 'выручка положительная']"
"ООО ""Профкомплект""",https://www.rusprofile.ru/id/1139536,,,13.02.2008,с 5 февраля 2025 г.,True,44,622000000,8500000,info@profkompl.ru,profkompl.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Гранит""",https://www.rusprofile.ru/id/1207700473595,,,11.12.2020,с 15 октября 2025 г.,True,5,367000000,452000,ooogranit145@gmail.com,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Промкомплект МСК""",https://www.rusprofile.ru/id/7731065,,,20.07.2015,с 26 июля 2024 г.,True,4,511000000,51000,promkomplekt.ms@yandex.ru,www.promkomplektmsk.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО""Полимерупак""",https://www.rusprofile.ru/id/5433847,,,07.10.2010,с 22 декабря 2021 г.,True,45,938000000,497000,polimerupak-2022@mail.ru,полимер-упак.рф,False,"['выручка положительная', 'прибыль положительная']"
"АО ""ТТК Холдинг""",https://www.rusprofile.ru/id/4397194,,,04.08.2005,с 3 февраля 2025 г.,True,82,1200000000,76000000,info@tk-sibkabel.ru,tk-sibkabel.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Ремавтоснаб""",https://www.rusprofile.ru/id/2420542,,,29.07.2005,с 5 мая 2012 г.,False,28,340000000,7800000,order@remautosnab.ru,ремавтоснаб.рф,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Гран Груп""",https://www.rusprofile.ru/id/1014970,,,29.01.2002,с 20 июня 2022 г.,True,55,1500000000,155000000,saunanen@ncab.ru,ncabgroup.com,False,"['выручка положительная', 'прибыль положительная']"
"АО ""Норрексим Рус""",https://www.rusprofile.ru/id/1725991,,,12.05.2000,с 15 мая 2017 г.,True,21,8500000000,941000000,norrexim@norrexim.ru,norrexim.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Имотэк""",https://www.rusprofile.ru/id/3252646,,,31.03.2008,с 28 октября 2019 г.,True,51,1100000000,78000000,info@imotech.ru,imotech.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Техдоринвест""",https://www.rusprofile.ru/id/6034492,,,09.04.2012,с 9 февраля 2022 г.,True,127,2500000000,-17000000,tdi_berezina@mail.ru,tehdorinvest.ru,False,['выручка положительная']
"ООО ""Химпек""",https://www.rusprofile.ru/id/833715,,,23.07.2004,с 16 августа 2017 г.,True,14,461000000,4600000,info@himpek.ru,himpek.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Сервис Групп""",https://www.rusprofile.ru/id/2188133,,,14.08.2009,с 8 февраля 2023 г.,True,7,386000000,13000000,info@fromair.ru,sgllc.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Техническая Служба""",https://www.rusprofile.ru/id/1085422,,,13.07.2006,с 5 июля 2017 г.,True,15,3700000000,90000000,info@stz.msk.ru,stz.msk.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""НПЦ ""Гранат""",https://www.rusprofile.ru/id/1360726,,,03.10.2005,с 19 декабря 2016 г.,True,27,353000000,33000000,granat@npcgranat.ru,npcgranat.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Меезенбург""",https://www.rusprofile.ru/id/1697116,,,14.12.1996,с 12 августа 2022 г.,True,56,1400000000,70000000,s.mettler@meesenburg.ru,meesenburg.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""ОК Русал ТД""",https://www.rusprofile.ru/id/4274717,,,15.03.2000,с 10 сентября 2025 г.,True,465,40000000000,29000000,marketing@rusal.ru,rusal.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Автодормех""",https://www.rusprofile.ru/id/293842,,,17.01.2007,,True,7,536000000,7900000,oavtodormekh@mail.ru,avtodormeh.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Агросогласие""",https://www.rusprofile.ru/id/1237700954171,,,29.12.2023,с 28 июня 2024 г.,True,4,5600000000,95000000,agrosog@mail.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Алкор Био""",https://www.rusprofile.ru/id/2162859,,,24.02.2005,с 16 мая 2022 г.,True,22,1100000000,170000,n2734935@yandex.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Рэмнефтегаз""",https://www.rusprofile.ru/id/3265912,,,24.10.2000,с 15 октября 2007 г.,True,14,1100000000,199000000,info@remneftegaz.ru,remneftegaz.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Русэкспорт""",https://www.rusprofile.ru/id/3983647,,,22.10.2002,с 24 февраля 2026 г.,True,3,651000000,25000000,rus.eksport@rambler.ru,rusexportpro.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
